Year,Country,State,Outbreak ID,Cases,Deaths,Mortality Rate (%),Transmission Type,Source,Age Group,Gender,Risk Group,Fever,Death Symptom,Lack of Consciousness,Headache,Vomiting,Seizures,Difficulty Breathing
1998,Malaysia,Perak,OUT001,265,105,39.6,Animal-to-Human,Pigs,Adult,Male,Pig Farmers,100%,92%,75%,42%,42%,33%,8%
1999,Singapore,NA,OUT002,11,1,9.1,Animal-to-Human,Pigs,Adult,Male,Abattoir Workers,100%,92%,75%,42%,42%,33%,8%
2001,Bangladesh,Meherpur,OUT003,13,9,69.2,Human-to-Human,Bats,Adult,Both,Family Contacts,100%,92%,75%,42%,42%,33%,8%
2004,Bangladesh,Rajbari,OUT004,31,23,74.2,Foodborne,Bats,Adult,Both,Date Palm Sap Consumers,100%,92%,75%,42%,42%,33%,8%
2007,India,West Bengal,OUT005,5,5,100,Human-to-Human,Bats,Adult,Both,Healthcare Workers,100%,92%,75%,42%,42%,33%,8%
2010,Bangladesh,Faridpur,OUT006,16,14,87.5,Human-to-Human,Bats,Adult,Both,Close Contacts,100%,92%,75%,42%,42%,33%,8%
2014,Bangladesh,Manikganj,OUT007,18,9,50,Foodborne,Bats,Mixed,Both,Rural Population,100%,92%,75%,42%,42%,33%,8%
2018,India,Kerala,OUT008,19,17,89.5,Human-to-Human,Bats,Mixed,Both,Healthcare Workers,100%,92%,75%,42%,42%,33%,8%
2019,Bangladesh,Khulna,OUT009,8,6,75,Foodborne,Bats,Adult,Both,Raw Sap Consumers,100%,92%,75%,42%,42%,33%,8%
2021,India,Kerala,OUT010,1,1,100,Animal-to-Human,Bats,Child,Male,Close Contact,100%,92%,75%,42%,42%,33%,8%
2023,Bangladesh,Various,OUT011,11,8,72.7,Human-to-Human,Bats,Mixed,Both,Family Cluster,100%,92%,75%,42%,42%,33%,8%
2026,India,West Bengal,OUT012,35,1,66.7,Human-to-Human,Bats,Adult,Both,Hospital Exposure,100%,92%,75%,42%,42%,33%,8%
